orgunitlevel2,orgunitlevel3,organisationunitname,organisationunitid,Eth_Month_Year,Travel,Positive,Tests,Positivity_Rate
Afar Region,Zone 1 Zone,Ayssaita Woreda,OuwClj9SXEs,Hidar 2015,0.0,62.0,266.0,23.220973782771537
Afar Region,Zone 1 Zone,Ayssaita Woreda,OuwClj9SXEs,Megabit 2015,0.0,76.0,211.0,35.84905660377358
Afar Region,Zone 1 Zone,Ayssaita Woreda,OuwClj9SXEs,Meskerem 2015,6.0,50.0,219.0,22.727272727272727
Afar Region,Zone 1 Zone,Ayssaita Woreda,OuwClj9SXEs,Miazia 2015,1.0,61.0,177.0,34.26966292134831
Afar Region,Zone 1 Zone,Ayssaita Woreda,OuwClj9SXEs,Nehase 2014,0.0,76.0,246.0,30.76923076923077
Afar Region,Zone 1 Zone,Ayssaita Woreda,OuwClj9SXEs,Sene 2015,3.0,62.0,251.0,24.6031746031746
Afar Region,Zone 1 Zone,Ayssaita Woreda,OuwClj9SXEs,Tahesas 2015,1.0,71.0,293.0,24.149659863945576
Afar Region,Zone 1 Zone,Ayssaita Woreda,OuwClj9SXEs,Tikemet 2015,1.0,64.0,243.0,26.229508196721312
Afar Region,Zone 1 Zone,Ayssaita Woreda,OuwClj9SXEs,Tir 2015,3.0,87.0,232.0,37.33905579399141
Afar Region,Zone 1 Zone,Ayssaita Woreda,OuwClj9SXEs,Yekatit 2015,1.0,89.0,301.0,29.47019867549669
Afar Region,Zone 1 Zone,Chifra City Administration,mig269T7pP6,Ginbot 2015,0.0,8.0,39.0,20.0
Afar Region,Zone 1 Zone,Chifra City Administration,mig269T7pP6,Hamle 2014,0.0,12.0,56.0,21.052631578947366
Afar Region,Zone 1 Zone,Chifra City Administration,mig269T7pP6,Hidar 2015,0.0,6.0,23.0,25.0
Afar Region,Zone 1 Zone,Chifra City Administration,mig269T7pP6,Megabit 2015,0.0,11.0,41.0,26.190476190476193
Afar Region,Zone 1 Zone,Chifra City Administration,mig269T7pP6,Meskerem 2015,0.0,9.0,30.0,29.03225806451613
Afar Region,Zone 1 Zone,Chifra City Administration,mig269T7pP6,Miazia 2015,0.0,14.0,43.0,31.818181818181817
Afar Region,Zone 1 Zone,Chifra City Administration,mig269T7pP6,Nehase 2014,0.0,6.0,32.0,18.181818181818183
Afar Region,Zone 1 Zone,Chifra City Administration,mig269T7pP6,Sene 2015,0.0,7.0,21.0,31.818181818181817
Afar Region,Zone 1 Zone,Chifra City Administration,mig269T7pP6,Tahesas 2015,0.0,6.0,25.0,23.076923076923077
Afar Region,Zone 1 Zone,Chifra City Administration,mig269T7pP6,Tikemet 2015,0.0,17.0,28.0,58.620689655172406
Afar Region,Zone 1 Zone,Chifra City Administration,mig269T7pP6,Tir 2015,0.0,15.0,19.0,75.0
Afar Region,Zone 1 Zone,Chifra City Administration,mig269T7pP6,Yekatit 2015,0.0,7.0,31.0,21.875
Afar Region,Zone 1 Zone,Chifra Woreda,Xr2Im99CCXn,Ginbot 2015,13.0,213.0,339.0,62.64705882352941
Afar Region,Zone 1 Zone,Chifra Woreda,Xr2Im99CCXn,Hamle 2014,0.0,112.0,404.0,27.65432098765432
