orgunitlevel2,orgunitlevel3,organisationunitname,organisationunitid,Eth_Month_Year,Travel,Positive,Tests,Positivity_Rate,Period_Gregorian_start,Period_Gregorian_end,Period
Addis Ababa City Administration,Lideta Sub City,Lideta Sub City,veWjz5L6CYU,Megabit 2014,0.0,6.0,72.0,8.21917808219178,2022-03-10,2022-04-08,2022 Mar
Addis Ababa City Administration,Lideta Sub City,Lideta Sub City,veWjz5L6CYU,Meskerem 2014,1.0,3.0,48.0,6.122448979591836,2021-09-11,2021-10-10,2021 Sept
Addis Ababa City Administration,Lideta Sub City,Lideta Sub City,veWjz5L6CYU,Miazia 2014,19.0,6.0,75.0,7.894736842105263,2022-04-09,2022-05-08,2022 Apr
Addis Ababa City Administration,Lideta Sub City,Lideta Sub City,veWjz5L6CYU,Nehase 2013,1.0,3.0,49.0,6.0,2021-08-07,2021-09-05,2021 Aug
Addis Ababa City Administration,Lideta Sub City,Lideta Sub City,veWjz5L6CYU,Sene 2014,0.0,17.0,93.0,18.08510638297873,2022-06-08,2022-07-07,2022 Jun
Addis Ababa City Administration,Lideta Sub City,Lideta Sub City,veWjz5L6CYU,Tahesas 2014,11.0,4.0,45.0,8.695652173913043,2021-12-10,2022-01-08,2021 Dec
Addis Ababa City Administration,Lideta Sub City,Lideta Sub City,veWjz5L6CYU,Tikemet 2014,0.0,2.0,47.0,4.166666666666666,2021-10-11,2021-11-09,2021 Oct
Addis Ababa City Administration,Lideta Sub City,Lideta Sub City,veWjz5L6CYU,Tir 2014,30.0,6.0,65.0,9.090909090909092,2022-01-09,2022-02-07,2022 Jan
Addis Ababa City Administration,Lideta Sub City,Lideta Sub City,veWjz5L6CYU,Yekatit 2014,24.0,10.0,66.0,14.925373134328357,2022-02-08,2022-03-09,2022 Feb
Addis Ababa City Administration,Nifas Silk Lafto Sub City,Nifas Silk Lafto Sub City,smjdej6f9a2,Ginbot 2014,0.0,28.0,155.0,17.94871794871795,2022-05-09,2022-06-07,2022 May
Addis Ababa City Administration,Nifas Silk Lafto Sub City,Nifas Silk Lafto Sub City,smjdej6f9a2,Hamle 2013,2.0,10.0,60.0,16.39344262295082,2021-07-08,2021-08-06,2021 Jul
Addis Ababa City Administration,Nifas Silk Lafto Sub City,Nifas Silk Lafto Sub City,smjdej6f9a2,Hidar 2014,0.0,11.0,107.0,10.185185185185183,2021-11-10,2021-12-09,2021 Nov
Addis Ababa City Administration,Nifas Silk Lafto Sub City,Nifas Silk Lafto Sub City,smjdej6f9a2,Megabit 2014,1.0,12.0,118.0,10.084033613445378,2022-03-10,2022-04-08,2022 Mar
Addis Ababa City Administration,Nifas Silk Lafto Sub City,Nifas Silk Lafto Sub City,smjdej6f9a2,Meskerem 2014,6.0,14.0,96.0,14.432989690721648,2021-09-11,2021-10-10,2021 Sept
Addis Ababa City Administration,Nifas Silk Lafto Sub City,Nifas Silk Lafto Sub City,smjdej6f9a2,Miazia 2014,2.0,10.0,106.0,9.345794392523365,2022-04-09,2022-05-08,2022 Apr
Addis Ababa City Administration,Nifas Silk Lafto Sub City,Nifas Silk Lafto Sub City,smjdej6f9a2,Nehase 2013,0.0,9.0,69.0,12.857142857142856,2021-08-07,2021-09-05,2021 Aug
Addis Ababa City Administration,Nifas Silk Lafto Sub City,Nifas Silk Lafto Sub City,smjdej6f9a2,Sene 2014,8.0,36.0,141.0,25.352112676056336,2022-06-08,2022-07-07,2022 Jun
Addis Ababa City Administration,Nifas Silk Lafto Sub City,Nifas Silk Lafto Sub City,smjdej6f9a2,Tahesas 2014,0.0,13.0,114.0,11.304347826086955,2021-12-10,2022-01-08,2021 Dec
Addis Ababa City Administration,Nifas Silk Lafto Sub City,Nifas Silk Lafto Sub City,smjdej6f9a2,Tikemet 2014,2.0,15.0,116.0,12.82051282051282,2021-10-11,2021-11-09,2021 Oct
Addis Ababa City Administration,Nifas Silk Lafto Sub City,Nifas Silk Lafto Sub City,smjdej6f9a2,Tir 2014,0.0,14.0,115.0,12.06896551724138,2022-01-09,2022-02-07,2022 Jan
Addis Ababa City Administration,Nifas Silk Lafto Sub City,Nifas Silk Lafto Sub City,smjdej6f9a2,Yekatit 2014,2.0,20.0,123.0,16.129032258064516,2022-02-08,2022-03-09,2022 Feb
Addis Ababa City Administration,Yeka Sub City,Yeka Sub City,y5Wg5rqVqVw,Ginbot 2014,3.0,14.0,112.0,12.389380530973453,2022-05-09,2022-06-07,2022 May
Addis Ababa City Administration,Yeka Sub City,Yeka Sub City,y5Wg5rqVqVw,Hamle 2013,0.0,14.0,104.0,13.333333333333334,2021-07-08,2021-08-06,2021 Jul
Addis Ababa City Administration,Yeka Sub City,Yeka Sub City,y5Wg5rqVqVw,Hidar 2014,3.0,19.0,169.0,11.176470588235295,2021-11-10,2021-12-09,2021 Nov
Addis Ababa City Administration,Yeka Sub City,Yeka Sub City,y5Wg5rqVqVw,Megabit 2014,1.0,15.0,167.0,8.928571428571429,2022-03-10,2022-04-08,2022 Mar
Addis Ababa City Administration,Yeka Sub City,Yeka Sub City,y5Wg5rqVqVw,Meskerem 2014,2.0,15.0,128.0,11.627906976744184,2021-09-11,2021-10-10,2021 Sept
