organisationunitname,region_malaria,zone_malaria,normalized,top3_candidates,ADM3_PCODE_suggested,ADM3_PCODE_final,note
Huruta Town,Oromia Region,Arsi Zone,huruta,Haru|Oromia/West Wellega|ET040114|score=67 ;; Hurumu|Oromia/Ilu Aba Bora|ET040316|score=66 ;; Hanruka|Afar/Gabi /Zone 3|ET020307|score=61,,,auto:no_match_above_floor -> null climate
Lode Hetosa Woreda,Oromia Region,Arsi Zone,lode hetosa,Lude Hitosa|Oromia/Arsi|ET040821|score=81 ;; Hitosa|Oromia/Arsi|ET040807|score=75 ;; Gode|Somali/Shabelle|ET050604|score=73,,ET040821,auto:in_region(score=81) -> Lude Hitosa
Ticho Woreda,Oromia Region,Arsi Zone,ticho,Enticho town|Tigray/Central|ET010220|score=83 ;; Dara Otilicho|Sidama/Sidama|ET160025|score=80 ;; Shinshincho town|Central Ethiopia/Kembata Tembaro|ET070310|score=72,,,auto:no_match_above_floor -> null climate
Delo Mena Woreda,Oromia Region,Bale Zone,delo mena,Tena|Oromia/Arsi|ET040813|score=77 ;; Kena|Southern Ethiopi/Konso|ET071304|score=77 ;; Gena|South West Ethiopia/Dawuro|ET110404|score=77,,ET040813,auto:in_region(score=77) -> Tena
Dawe Kachen Woreda,Oromia Region,East Bale Zone,dawe kachen,[SUGGESTED] Dawe Ketchen|Oromia/East Bale|ET042106|score=86 ;; Dawe|Afar/Hari /Zone 5|ET020503|score=90 ;; Dawe Ketchen|Oromia/East Bale|ET042106|score=86 ;; Chena|South West Ethiopia/Kefa|ET110209|score=80,ET042106,ET042106,auto:suggested(82-87)
Dawe Serer Woreda,Oromia Region,East Bale Zone,dawe serer,Dawe|Afar/Hari /Zone 5|ET020503|score=90 ;; Dawo|Oromia/South West Shewa|ET041304|score=77 ;; Elkare /Serer|Somali/Afder|ET050804|score=72,,ET041304,auto:in_region(score=77) -> Dawo
Laga Hidha Woreda,Oromia Region,East Bale Zone,laga hidha,Lagahida|Somali/Erer|ET050407|score=88 ;; Dhas|Oromia/Borena|ET041220|score=77 ;; Lege Hida|Oromia/East Bale|ET042102|score=73,,ET041220,auto:in_region(score=77) -> Dhas
Das Woreda,Oromia Region,East Borena Zone,das,[SUGGESTED] Dhas|Oromia/Borena|ET041220|score=85 ;; Indasilassie town|Tigray/North Western|ET010108|score=90 ;; Dasenech /Kuraz|Southern Ethiopi/South Omo|ET070706|score=90 ;; Dhas|Oromia/Borena|ET041220|score=85,ET041220,ET041220,auto:suggested(82-87)
Gumi Eldalo Woreda,Oromia Region,East Borena Zone,gumi eldalo,[SUGGESTED] Gumi Idalo|Oromia/Guji|ET041497|score=85 ;; Gumi Idalo|Oromia/Guji|ET041497|score=85 ;; Dalol|Afar/Kilbati /Zone2|ET020206|score=80 ;; Yalo|Afar/Fanti /Zone 4|ET020404|score=77,ET041497,ET041497,auto:suggested(82-87)
Mada Walabu Woreda,Oromia Region,East Borena Zone,mada walabu,Meda Welabu|Oromia/Bale|ET041113|score=81 ;; Haro Walabu|Oromia/Guji|ET041490|score=72 ;; Semada|Amhara/South Gondar|ET030207|score=72,,ET041113,auto:in_region(score=81) -> Meda Welabu
West Welabu Woreda,Oromia Region,East Borena Zone,west welabu,[SUGGESTED] Jarso (West Wellega)|Oromia/West Wellega|ET040108|score=85 ;; Andabet/ West Esite|Amhara/South Gondar|ET030211|score=85 ;; Jarso (West Wellega)|Oromia/West Wellega|ET040108|score=85 ;; West Belesa|Amhara/Central Gondar|ET031116|score=72,ET040108,ET040108,auto:suggested(82-87)
Gola Oda Woreda,Oromia Region,East Hararge Zone,gola oda,[SUGGESTED] Golo Oda|Oromia/East Hararge|ET041017|score=87 ;; Golo Oda|Oromia/East Hararge|ET041017|score=87 ;; Kuni /Oda Bultum|Oromia/West Hararge|ET040911|score=85 ;; Gog|Gambela/Agnewak|ET120203|score=72,ET041017,ET041017,auto:suggested(82-87)
Mekanisa Oromo Woreda,Oromia Region,East Hararge Zone,mekanisa oromo,Meskan|Central Ethiopia/Guraghe|ET070106|score=81 ;; Ameka|Central Ethiopia/Hadiya|ET070215|score=80 ;; Meko|Oromia/Buno Bedele|ET041618|score=77,,ET041618,auto:in_region(score=77) -> Meko
Melka Bello Woreda,Oromia Region,East Hararge Zone,melka bello,[SUGGESTED] Melka Balo|Oromia/East Hararge|ET041012|score=85 ;; Melka Balo|Oromia/East Hararge|ET041012|score=85 ;; Ameka|Central Ethiopia/Hadiya|ET070215|score=72 ;; Meko|Oromia/Buno Bedele|ET041618|score=67,ET041012,ET041012,auto:suggested(82-87)
Meye Muluke Woreda,Oromia Region,East Hararge Zone,meye muluke,Meyu Muleke|Oromia/East Hararge|ET041018|score=81 ;; Meyumuluka|Somali/Erer|ET050408|score=76 ;; Ameya|Oromia/South West Shewa|ET041301|score=67,,ET041018,auto:in_region(score=81) -> Meyu Muleke
